exp,comp_name,positive,negative,neutral,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
1,bing_lexicon_em_good_bad,0.000897422,2.277012394074162e-14,0.010842353605009925,0.39881697520979376,0.27361793238448573,0.000712812,2.6151392419827924e-14,1.8768383274675536e-07,3.7296362084111775e-05,7.155001558353267e-16,1.0048865542791178e-12
1,bing_lexicon_gen_em,5.8456248965698315e-05,0.004370986,6.861030986956872e-05,6.141527395835551e-09,0.5517134236830017,0.002025402,1.989976474813567e-12,0.04678018,0.016897762107560412,6.679763005633071e-29,0.4246614214834764
1,bing_lexicon_em_rank,0.4742765830211215,0.26200824289596736,0.5264133378134176,0.1436027872654586,0.12723275306779497,0.23514443638806495,0.13822877346708165,0.9758528003536806,0.8527276292703807,0.6094027660969286,0.4921036108468122
1,bing_lexicon_gen_rank,0.283485064,0.7275666616723045,0.6537679328668669,0.005747358,0.18744523667900487,0.3538963864219393,0.6295714170735502,0.8882041931139062,0.5237761661060003,0.7133966122627213,0.7533640779426287
2,IO_bing_gen_rank_1,0.001827728,0.007995074,0.000869623,0.2707406,0.5931043301556965,0.2664355464696653,0.041985413755672274,0.9607519871270043,0.090070222,0.9450076410318324,0.012326240938082001
2,IO_bing_em_rank_1,0.071256115,0.8166288188842157,0.2281062207655229,0.24253035230847433,0.025774565494212545,0.011258192572955641,0.9347782822696479,0.12926064508912294,0.27016451737651437,0.5315198567632226,0.6552512324367796
2,IO_bing_gen,0.03672359,0.9152201482979138,0.2150666612440239,0.057175691,0.31860957757291075,0.21864788590042056,0.9958331073085753,0.20623671436351235,0.4723534464878798,0.001492931,1.590320371866834e-06
2,IO_bing_em,0.30309069028880786,0.2271741284735719,0.19445779938978786,0.000398785,0.3020671539364033,1.3166217851334388e-05,0.10494931612319745,0.030972005772680413,0.097983076,0.23799147871585458,0.046285924
2,IO_bing_em_rank_2,0.9176314043817563,0.4917688807649284,0.6508662278006345,0.31972143795438995,0.28821913788745773,0.19951137301963123,0.1626452674143066,0.8756017841011454,0.034772125392524396,0.23864392527412503,0.4269730580132942
2,IO_bing_gen_rank_2,0.15488632255908788,0.7812730844628238,0.5009563482150972,0.00385424,0.8206420248045223,0.030102602195948742,0.47378583179216527,0.4407475158573769,0.700869425,0.008413943,0.004499979
2,IO_bing_gen_rank_3,0.8156296796613135,0.9535834103995227,0.8693903430628334,0.568368861,0.027844828,0.48376263455085644,0.5986319986625498,0.2675356036825723,0.9385672359466666,0.5649983274592104,0.006312056
2,IO_bing_em_rank_3,0.6163932999168212,0.493652872,0.49658538035507893,0.060361468,0.8216720277588022,0.000705661,0.5602135824197807,0.1439289029849191,0.515200768,0.8575765053068359,0.14801929193828145
2,IO_bing_em_rank_4,0.9494522809574767,0.029297087505878047,0.2241198531243928,0.023932633408348693,0.24070162411397042,0.072387855,0.346836269,0.24438061425121066,0.7218230483907115,0.22055786890494536,0.094579736
2,IO_bing_gen_rank_4,0.46263606845816085,0.14726425144599037,0.19850004669811272,0.6570742037315569,0.3766224797258806,0.9739598653841227,0.6625852020289706,0.7520258901127724,0.8029044241976551,0.006447891,0.3118462007401523
2,IO_bing_good,0.40870164756631666,0.9212579925488809,0.6436617786388787,0.17210138413729656,0.004500153,0.040380769,0.048643168,0.027181304,0.15539641501425056,0.005739161,0.18055472275863724
2,IO_bing_bad,0.015528882256543391,0.12255543909577533,0.028549014436601655,0.000130386,0.2495707750194163,1.6068474203022816e-06,0.3741281425681724,0.3999522134652842,0.38386702308392395,0.2873412288054084,0.10401212193006273
2,IO_bing_gen_rank_5,0.9684710839595512,0.3401061981263217,0.5860775934154115,0.02198397,0.754789376,0.9755641741510948,0.6074078250862588,0.605787258,0.3660609571981943,0.3330955905145503,0.1200098985675579
2,IO_bing_em_rank_5,0.7727866649682185,0.6973552113293706,0.6988529137632193,0.063577002,0.9523164051791073,0.4713746656242056,0.5846428333263729,0.8226009618348344,0.8816957294779165,0.7947540557084947,0.83170522
2,bing_semantic_gen_em,0.020479064366733368,0.020479056918067402,N/A,2.6405794756313827e-09,N/A,N/A,1.994366368505603e-06,0.19466968853593908,2.1264767819477688e-05,N/A,N/A
2,bing_semantic_em_good_bad,1.3269266579878113e-84,1.3269265350649088e-84,N/A,0.10221742393427652,N/A,N/A,1.0022686105843904e-20,6.855071795563313e-47,7.265660655496702e-12,N/A,N/A
2,bing_semantic_gen_rank,0.36556747091885844,0.36556748171379816,N/A,0.16386878010543915,N/A,N/A,0.992292606,0.5638812080235233,0.2492436987141146,N/A,N/A
2,bing_semantic_em_rank,0.8753537664320272,0.8753537550122761,N/A,0.16122713964193974,N/A,N/A,0.089084559,0.5030916893968462,0.20439331960226823,N/A,N/A
3,IAS_lexicon_gen,0.096168354,0.001566684,0.021064129900664013,0.015858637,0.001180975,6.860554258640937e-08,0.001746796,0.3070342922600918,0.4762016427432594,0.017492012486484732,4.6137933510917834e-05
3,IAS_lexicon_em,1.1055265086677076e-05,0.047012224,0.000267803,0.002472481,0.000779764,0.13783524399898256,0.002429691,0.6714827724267803,7.413024896014387e-07,0.21778340983533964,0.000225532
3,IAS_semantic_gen,0.1255367782965089,0.12553678774198238,N/A,0.008313868,N/A,N/A,1.6559076680262535e-06,0.003976137,0.14187064504894356,N/A,N/A
3,IAS_semantic_em,0.11894596536158313,0.11894599743081924,N/A,0.003056894,N/A,N/A,6.272328652814951e-07,0.056413454,0.6634257197205957,N/A,N/A
